x,y
0,0
8,0
16,0
24,0
32,0
40,0
48,0
56,0
64,0
72,0
80,0
88,0
96,0
104,0
112,0
120,0
128,0
136,0
144,0
152,0
160,0
168,0
176,0
184,0
192,0
200,0
208,0
216,0
224,0
232,0
240,0
248,0
256,0
264,0
272,0
280,0
288,0
296,0
304,0
312,0
320,0
328,0
336,0
344,0
352,0
360,0
368,0
376,0
384,0
392,0
400,0
408,0
416,0
424,0
432,0
440,0
448,0
456,0
464,0
472,0
480,0
488,0
496,0
504,0
512,0
520,0
528,0
536,0
544,0
552,0
560,0
568,0
576,0
584,0
592,0
0,8
8,8
16,8
24,8
32,8
40,8
48,8
56,8
64,8
72,8
80,8
88,8
96,8
104,8
112,8
120,8
128,8
136,8
144,8
152,8
160,8
168,8
176,8
184,8
192,8
200,8
208,8
216,8
224,8
232,8
240,8
248,8
256,8
264,8
272,8
280,8
288,8
296,8
304,8
312,8
320,8
328,8
336,8
344,8
352,8
360,8
368,8
376,8
384,8
392,8
400,8
408,8
416,8
424,8
432,8
440,8
448,8
456,8
464,8
472,8
480,8
488,8
496,8
504,8
512,8
520,8
528,8
536,8
544,8
552,8
560,8
568,8
576,8
584,8
592,8
0,16
8,16
16,16
24,16
32,16
40,16
48,16
56,16
64,16
72,16
80,16
88,16
96,16
104,16
112,16
120,16
128,16
136,16
144,16
152,16
160,16
168,16
176,16
184,16
192,16
200,16
208,16
216,16
280,16
288,16
296,16
304,16
312,16
320,16
328,16
336,16
344,16
352,16
360,16
368,16
376,16
384,16
392,16
400,16
408,16
416,16
424,16
432,16
440,16
448,16
456,16
464,16
472,16
480,16
488,16
496,16
504,16
512,16
520,16
528,16
536,16
544,16
552,16
560,16
568,16
576,16
584,16
592,16
0,24
8,24
16,24
24,24
32,24
40,24
48,24
56,24
64,24
72,24
80,24
88,24
96,24
104,24
112,24
120,24
128,24
136,24
144,24
152,24
160,24
168,24
176,24
184,24
192,24
336,24
360,24
368,24
376,24
384,24
392,24
400,24
408,24
416,24
424,24
432,24
440,24
448,24
456,24
464,24
472,24
480,24
488,24
496,24
504,24
512,24
520,24
528,24
536,24
544,24
552,24
560,24
568,24
576,24
584,24
592,24
0,32
8,32
16,32
24,32
32,32
40,32
48,32
56,32
64,32
72,32
80,32
88,32
96,32
104,32
112,32
120,32
128,32
136,32
144,32
496,32
504,32
512,32
520,32
528,32
536,32
544,32
552,32
560,32
568,32
576,32
584,32
592,32
0,40
8,40
16,40
24,40
32,40
40,40
48,40
56,40
64,40
72,40
80,40
88,40
96,40
104,40
112,40
120,40
128,40
568,40
0,48
8,48
16,48
24,48
32,48
40,48
48,48
56,48
64,48
72,48
80,48
88,48
96,48
104,48
112,48
256,48
0,56
8,56
16,56
24,56
32,56
40,56
48,56
56,56
64,56
72,56
80,56
88,56
96,56
256,56
264,56
272,56
280,56
288,56
352,56
360,56
0,64
8,64
16,64
24,64
32,64
40,64
48,64
56,64
64,64
72,64
80,64
248,64
256,64
264,64
272,64
280,64
288,64
328,64
336,64
352,64
360,64
0,72
8,72
16,72
24,72
32,72
40,72
48,72
56,72
64,72
72,72
248,72
256,72
264,72
272,72
280,72
288,72
328,72
336,72
344,72
352,72
360,72
0,80
8,80
16,80
24,80
32,80
40,80
48,80
56,80
256,80
264,80
272,80
280,80
288,80
296,80
304,80
312,80
336,80
352,80
360,80
0,88
8,88
16,88
24,88
32,88
40,88
48,88
256,88
264,88
272,88
280,88
288,88
296,88
304,88
312,88
352,88
360,88
0,96
8,96
16,96
24,96
32,96
256,96
264,96
272,96
280,96
288,96
296,96
304,96
312,96
320,96
352,96
360,96
0,104
8,104
16,104
24,104
248,104
256,104
264,104
272,104
280,104
288,104
296,104
304,104
312,104
320,104
360,104
0,112
8,112
248,112
256,112
264,112
272,112
280,112
288,112
296,112
304,112
312,112
320,112
360,112
256,120
264,120
272,120
280,120
288,120
296,120
304,120
312,120
320,120
360,120
256,128
264,128
272,128
280,128
288,128
296,128
304,128
312,128
320,128
360,128
256,136
264,136
272,136
280,136
288,136
296,136
304,136
312,136
320,136
360,136
256,144
264,144
272,144
280,144
288,144
296,144
304,144
312,144
320,144
360,144
256,152
264,152
272,152
280,152
288,152
296,152
304,152
312,152
320,152
360,152
256,160
264,160
272,160
280,160
288,160
296,160
304,160
312,160
320,160
360,160
256,168
264,168
272,168
280,168
288,168
296,168
304,168
312,168
320,168
360,168
256,176
264,176
272,176
280,176
288,176
296,176
304,176
312,176
320,176
328,176
360,176
256,184
264,184
272,184
280,184
288,184
296,184
304,184
312,184
320,184
328,184
360,184
256,192
264,192
272,192
280,192
288,192
296,192
304,192
312,192
320,192
328,192
360,192
256,200
264,200
272,200
280,200
288,200
296,200
304,200
312,200
320,200
328,200
360,200
256,208
264,208
272,208
280,208
288,208
296,208
304,208
312,208
320,208
328,208
360,208
256,216
264,216
272,216
280,216
288,216
296,216
304,216
312,216
320,216
328,216
360,216
256,224
264,224
272,224
280,224
288,224
296,224
304,224
312,224
320,224
328,224
360,224
256,232
264,232
272,232
280,232
288,232
296,232
304,232
312,232
320,232
328,232
360,232
256,240
264,240
272,240
280,240
288,240
296,240
304,240
312,240
320,240
328,240
360,240
256,248
264,248
272,248
280,248
288,248
296,248
304,248
312,248
320,248
328,248
360,248
256,256
264,256
272,256
280,256
288,256
296,256
304,256
312,256
320,256
328,256
360,256
256,264
264,264
272,264
280,264
288,264
296,264
304,264
312,264
320,264
328,264
360,264
256,272
264,272
272,272
280,272
288,272
296,272
304,272
312,272
320,272
328,272
360,272
256,280
264,280
272,280
280,280
288,280
296,280
304,280
312,280
320,280
328,280
360,280
256,288
264,288
272,288
280,288
288,288
296,288
304,288
312,288
320,288
328,288
360,288
256,296
264,296
272,296
280,296
288,296
296,296
304,296
312,296
320,296
328,296
360,296
256,304
264,304
272,304
280,304
288,304
296,304
304,304
312,304
320,304
328,304
360,304
256,312
264,312
272,312
280,312
288,312
296,312
304,312
312,312
320,312
328,312
360,312
256,320
264,320
272,320
280,320
288,320
296,320
304,320
312,320
320,320
328,320
360,320
256,328
264,328
272,328
280,328
288,328
296,328
304,328
312,328
320,328
328,328
360,328
256,336
264,336
272,336
280,336
288,336
296,336
304,336
312,336
320,336
328,336
360,336
256,344
264,344
272,344
280,344
288,344
296,344
304,344
312,344
320,344
328,344
360,344
256,352
264,352
272,352
280,352
288,352
296,352
304,352
312,352
320,352
328,352
360,352
256,360
264,360
272,360
280,360
288,360
296,360
304,360
312,360
320,360
328,360
360,360
256,368
264,368
272,368
280,368
288,368
296,368
304,368
312,368
320,368
328,368
360,368
256,376
264,376
272,376
280,376
288,376
296,376
304,376
312,376
320,376
328,376
360,376
256,384
264,384
272,384
280,384
288,384
296,384
304,384
312,384
320,384
328,384
360,384
256,392
264,392
272,392
280,392
288,392
296,392
304,392
312,392
320,392
328,392
360,392
256,400
264,400
272,400
280,400
288,400
296,400
304,400
312,400
320,400
328,400
360,400
368,400
248,408
256,408
264,408
272,408
280,408
288,408
296,408
304,408
312,408
320,408
328,408
360,408
368,408
248,416
256,416
264,416
272,416
280,416
288,416
296,416
304,416
312,416
320,416
328,416
368,416
248,424
256,424
264,424
272,424
280,424
288,424
296,424
304,424
312,424
320,424
328,424
368,424
248,432
256,432
264,432
272,432
280,432
288,432
296,432
312,432
320,432
328,432
368,432
240,440
248,440
256,440
264,440
272,440
280,440
288,440
296,440
312,440
320,440
328,440
368,440
376,440
240,448
248,448
256,448
264,448
272,448
280,448
312,448
320,448
376,448
240,456
248,456
256,456
264,456
272,456
280,456
312,456
320,456
384,456
232,464
240,464
248,464
256,464
264,464
272,464
280,464
288,464
304,464
312,464
320,464
328,464
384,464
200,472
224,472
232,472
240,472
248,472
256,472
264,472
272,472
280,472
288,472
296,472
304,472
312,472
320,472
328,472
336,472
344,472
408,472
192,480
200,480
224,480
232,480
240,480
248,480
256,480
264,480
272,480
280,480
288,480
296,480
312,480
320,480
328,480
336,480
344,480
368,480
376,480
408,480
200,488
216,488
224,488
232,488
240,488
248,488
256,488
264,488
272,488
280,488
288,488
296,488
304,488
312,488
320,488
328,488
336,488
344,488
368,488
376,488
384,488
392,488
400,488
408,488
416,488
192,496
200,496
208,496
216,496
224,496
232,496
240,496
248,496
256,496
264,496
272,496
280,496
288,496
296,496
304,496
312,496
320,496
328,496
336,496
344,496
368,496
376,496
384,496
392,496
400,496
408,496
200,504
208,504
216,504
224,504
232,504
240,504
248,504
256,504
264,504
272,504
280,504
288,504
296,504
304,504
312,504
320,504
336,504
344,504
360,504
368,504
376,504
384,504
392,504
408,504
192,512
200,512
208,512
216,512
224,512
232,512
240,512
248,512
256,512
264,512
272,512
288,512
296,512
304,512
312,512
320,512
328,512
336,512
344,512
352,512
360,512
368,512
376,512
384,512
392,512
400,512
408,512
416,512
168,520
184,520
192,520
200,520
208,520
216,520
224,520
232,520
256,520
264,520
272,520
280,520
288,520
296,520
304,520
328,520
336,520
344,520
352,520
360,520
368,520
376,520
384,520
392,520
400,520
408,520
152,528
160,528
168,528
176,528
184,528
200,528
208,528
216,528
224,528
232,528
240,528
248,528
256,528
264,528
272,528
280,528
288,528
296,528
304,528
328,528
336,528
344,528
352,528
368,528
376,528
408,528
416,528
0,536
8,536
16,536
24,536
32,536
40,536
48,536
56,536
64,536
80,536
88,536
104,536
112,536
120,536
128,536
136,536
144,536
152,536
160,536
184,536
208,536
216,536
224,536
232,536
240,536
248,536
256,536
264,536
280,536
304,536
312,536
320,536
328,536
336,536
344,536
352,536
360,536
368,536
376,536
384,536
392,536
400,536
416,536
424,536
432,536
440,536
448,536
456,536
8,544
16,544
24,544
32,544
40,544
48,544
56,544
64,544
72,544
80,544
88,544
96,544
104,544
112,544
120,544
128,544
136,544
144,544
152,544
160,544
208,544
216,544
224,544
232,544
240,544
248,544
256,544
264,544
272,544
280,544
288,544
296,544
304,544
312,544
320,544
328,544
336,544
344,544
352,544
360,544
368,544
376,544
384,544
392,544
400,544
408,544
424,544
432,544
440,544
448,544
456,544
472,544
480,544
488,544
496,544
504,544
512,544
520,544
528,544
536,544
544,544
0,552
8,552
16,552
24,552
32,552
40,552
48,552
56,552
64,552
72,552
80,552
88,552
96,552
104,552
112,552
120,552
128,552
136,552
144,552
168,552
176,552
184,552
192,552
200,552
208,552
216,552
224,552
232,552
240,552
248,552
256,552
264,552
272,552
280,552
304,552
312,552
320,552
328,552
336,552
344,552
352,552
360,552
368,552
376,552
384,552
392,552
400,552
408,552
416,552
424,552
440,552
448,552
456,552
464,552
520,552
528,552
0,560
8,560
16,560
24,560
32,560
40,560
48,560
56,560
64,560
72,560
80,560
88,560
96,560
104,560
112,560
120,560
128,560
136,560
208,560
216,560
224,560
232,560
240,560
248,560
256,560
264,560
272,560
280,560
288,560
296,560
304,560
312,560
320,560
328,560
336,560
344,560
352,560
360,560
368,560
376,560
384,560
392,560
400,560
416,560
464,560
512,560
520,560
528,560
536,560
552,560
576,560
584,560
0,568
8,568
16,568
24,568
32,568
40,568
48,568
56,568
64,568
72,568
80,568
88,568
96,568
104,568
112,568
120,568
128,568
136,568
144,568
152,568
160,568
168,568
176,568
184,568
192,568
208,568
216,568
224,568
232,568
240,568
248,568
328,568
344,568
360,568
368,568
376,568
384,568
392,568
400,568
408,568
416,568
424,568
432,568
440,568
448,568
456,568
464,568
520,568
528,568
536,568
560,568
568,568
576,568
584,568
592,568
0,576
8,576
16,576
24,576
32,576
40,576
48,576
56,576
64,576
72,576
80,576
88,576
96,576
104,576
112,576
120,576
128,576
136,576
168,576
208,576
216,576
224,576
232,576
240,576
248,576
256,576
264,576
272,576
280,576
288,576
296,576
304,576
312,576
320,576
328,576
336,576
344,576
352,576
360,576
368,576
376,576
384,576
392,576
400,576
408,576
472,576
480,576
512,576
520,576
528,576
536,576
560,576
568,576
584,576
592,576
0,584
8,584
16,584
24,584
32,584
40,584
48,584
56,584
64,584
72,584
80,584
88,584
96,584
104,584
112,584
120,584
128,584
136,584
144,584
160,584
168,584
176,584
184,584
192,584
208,584
216,584
224,584
232,584
240,584
248,584
256,584
264,584
272,584
280,584
288,584
296,584
304,584
312,584
320,584
328,584
336,584
344,584
352,584
360,584
368,584
376,584
384,584
392,584
400,584
408,584
416,584
424,584
440,584
448,584
456,584
464,584
472,584
496,584
504,584
512,584
536,584
560,584
568,584
576,584
16,592
24,592
32,592
40,592
48,592
56,592
64,592
72,592
80,592
88,592
96,592
104,592
112,592
120,592
128,592
136,592
208,592
216,592
224,592
232,592
240,592
248,592
256,592
264,592
272,592
280,592
288,592
296,592
304,592
312,592
320,592
328,592
336,592
344,592
352,592
360,592
368,592
376,592
384,592
392,592
400,592
440,592
472,592
480,592
504,592
528,592
536,592
552,592
568,592
576,592
16,600
24,600
32,600
40,600
48,600
56,600
64,600
72,600
80,600
88,600
96,600
104,600
112,600
120,600
128,600
136,600
144,600
208,600
216,600
224,600
232,600
240,600
248,600
256,600
264,600
272,600
280,600
288,600
296,600
304,600
312,600
320,600
328,600
336,600
344,600
352,600
360,600
368,600
376,600
384,600
392,600
400,600
416,600
424,600
440,600
448,600
456,600
464,600
472,600
480,600
496,600
504,600
520,600
552,600
560,600
568,600
16,608
24,608
32,608
40,608
48,608
56,608
64,608
72,608
80,608
88,608
96,608
104,608
112,608
120,608
128,608
136,608
144,608
208,608
216,608
224,608
232,608
240,608
248,608
256,608
264,608
272,608
280,608
288,608
296,608
304,608
312,608
320,608
328,608
336,608
344,608
352,608
360,608
368,608
376,608
384,608
392,608
400,608
424,608
472,608
480,608
488,608
496,608
504,608
552,608
0,616
8,616
16,616
24,616
32,616
40,616
48,616
56,616
64,616
72,616
80,616
88,616
120,616
128,616
144,616
152,616
168,616
176,616
192,616
200,616
208,616
216,616
224,616
232,616
256,616
264,616
288,616
296,616
336,616
376,616
392,616
400,616
408,616
440,616
464,616
472,616
480,616
488,616
496,616
504,616
520,616
528,616
536,616
576,616
